,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area,living_total_ratio,rooms_per_total_area,storey_ratio
880,TcSKA,97000,7,walk,agency,0,20,2.0,15.0,2,46.0,34.0,6.0,0.7391304347826086,0.043478260869565216,0.13333333333333333
881,Bagrationovskaia,94100,13,walk,agency,0,4,4.0,13.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.3076923076923077
882,Bagrationovskaia,96500,13,walk,agency,0,2,2.0,13.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.15384615384615385
883,Bagrationovskaia,109700,13,walk,agency,0,7,3.0,13.0,2,61.0,33.0,4.0,0.5409836065573771,0.03278688524590164,0.23076923076923078
884,Bagrationovskaia,97200,13,walk,agency,0,6,2.0,13.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.15384615384615385
885,VDNKh,65000,8,walk,agency,0,29,1.0,14.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.07142857142857142
886,No data,70000,0,walk,agency,0,24,13.0,14.0,1,43.0,12.0,18.0,0.27906976744186046,0.023255813953488372,0.9285714285714286
887,Planernaia,55000,6,walk,agency,0,8,2.0,9.0,2,45.0,35.0,8.0,0.7777777777777778,0.044444444444444446,0.2222222222222222
888,Riazanskii prospekt,45000,18,walk,agency,0,7,4.0,9.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.4444444444444444
889,Varshavskaia,55000,9,walk,agency,0,22,5.0,16.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.3125
890,Mezhdunarodnaia,265000,6,walk,agency,0,35,23.0,77.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.2987012987012987
891,Mezhdunarodnaia,350000,7,walk,agency,0,31,47.0,75.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.6266666666666667
892,Mezhdunarodnaia,200000,6,walk,agency,0,15,35.0,77.0,2,60.0,40.0,10.0,0.6666666666666666,0.03333333333333333,0.45454545454545453
893,Mezhdunarodnaia,200000,6,walk,agency,0,64,20.0,64.0,2,65.0,40.0,10.0,0.6153846153846154,0.03076923076923077,0.3125
894,Mezhdunarodnaia,240000,7,walk,agency,0,49,44.0,73.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.6027397260273972
895,Mezhdunarodnaia,305000,2,walk,agency,0,17,19.0,13.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,1.4615384615384615
896,Mezhdunarodnaia,950000,6,walk,agency,0,45,64.0,77.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.8311688311688312
897,Mezhdunarodnaia,1050000,6,walk,agency,0,56,45.0,77.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.5844155844155844
898,Mezhdunarodnaia,200000,2,walk,agency,0,46,16.0,13.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,1.2307692307692308
899,Mezhdunarodnaia,255000,2,walk,agency,0,30,19.0,13.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,1.4615384615384615
900,Mezhdunarodnaia,345000,2,walk,agency,0,32,18.0,13.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,1.3846153846153846
901,Mezhdunarodnaia,500000,5,walk,agency,0,34,52.0,63.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.8253968253968254
902,Mezhdunarodnaia,470000,3,walk,agency,0,2,47.0,13.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,3.6153846153846154
903,Mezhdunarodnaia,335000,2,walk,agency,0,2,30.0,13.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,2.3076923076923075
904,Chistye prudy,340000,8,walk,agency,0,5,5.0,6.0,4,180.0,109.0,15.0,0.6055555555555555,0.022222222222222223,0.8333333333333334
905,Krasnye vorota,220000,10,walk,agency,0,11,5.0,6.0,4,130.0,86.0,36.0,0.6615384615384615,0.03076923076923077,0.8333333333333334
906,Barrikadnaia,350000,10,walk,agency,0,39,2.0,5.0,4,180.0,120.0,18.0,0.6666666666666666,0.022222222222222223,0.4
907,Novokuznetckaia,195000,4,walk,agency,0,26,2.0,6.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.3333333333333333
908,Maiakovskaia,250000,8,walk,agency,0,188,7.0,7.0,3,110.0,75.0,12.0,0.6818181818181818,0.02727272727272727,1.0
909,Tretiakovskaia,350000,1,walk,agency,0,38,5.0,5.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,1.0
910,Oktiabrskaia,471069,5,walk,agency,0,215,4.0,8.0,4,118.0,66.0,10.0,0.559322033898305,0.03389830508474576,0.5
911,Barrikadnaia,350000,11,walk,agency,0,200,9.0,10.0,4,120.0,100.0,8.0,0.8333333333333334,0.03333333333333333,0.9
912,TcSKA,194000,5,walk,agency,0,6,27.0,33.0,4,150.0,90.0,13.0,0.6,0.02666666666666667,0.8181818181818182
913,Maiakovskaia,250000,10,walk,agency,0,62,3.0,6.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.5
914,Krasnye vorota,100000,8,walk,agency,0,23,3.0,10.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.3
915,Kuznetckii most,300000,5,walk,agency,0,20,4.0,4.0,4,155.0,97.0,15.0,0.6258064516129033,0.025806451612903226,1.0
916,Chistye prudy,360000,6,walk,agency,0,202,4.0,6.0,6,206.0,135.0,17.0,0.6553398058252428,0.02912621359223301,0.6666666666666666
917,Chekhovskaia,115000,5,walk,agency,0,17,1.0,6.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.16666666666666666
918,Kropotkinskaia,330000,10,walk,agency,0,170,4.0,7.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.5714285714285714
919,Trubnaia,635000,4,walk,agency,0,175,9.0,15.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.6
920,Kitai-gorod,220000,3,walk,agency,0,38,3.0,6.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.5
921,Novokuznetckaia,450000,3,walk,agency,0,37,7.0,12.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.5833333333333334
922,Sukharevskaia,280000,6,walk,agency,0,41,3.0,4.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.75
923,Oktiabrskaia,300000,5,walk,agency,0,31,2.0,9.0,3,114.0,87.0,18.0,0.7631578947368421,0.02631578947368421,0.2222222222222222
924,Sukharevskaia,185000,5,walk,agency,0,40,4.0,8.0,3,90.0,62.0,12.0,0.6888888888888889,0.03333333333333333,0.5
925,Novokuznetckaia,375000,6,walk,agency,0,27,5.0,10.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.5
926,Krasnopresnenskaia,350000,12,walk,agency,0,16,11.0,14.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.7857142857142857
927,Tretiakovskaia,250000,5,walk,agency,0,46,3.0,6.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.5
928,Tretiakovskaia,290000,1,walk,agency,0,9,5.0,7.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.7142857142857143
929,Sukharevskaia,360000,6,walk,agency,0,3,2.0,6.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.3333333333333333
930,Belorusskaia,190000,7,walk,agency,0,1,5.0,9.0,3,125.0,65.0,15.0,0.52,0.024,0.5555555555555556
931,Vystavochnaia,250000,14,walk,agency,0,4,39.0,55.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.7090909090909091
932,Belorusskaia,450000,7,walk,agency,0,3,3.0,9.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.3333333333333333
933,Oktiabrskaia,850000,9,walk,agency,0,6,6.0,13.0,5,258.0,135.0,25.0,0.5232558139534884,0.01937984496124031,0.46153846153846156
934,No data,150000,0,walk,agency,0,161,12.0,28.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.42857142857142855
935,Kievskaia,400000,6,walk,agency,0,162,11.0,12.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.9166666666666666
936,No data,1156002,0,walk,agency,0,210,6.0,29.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.20689655172413793
937,Oktiabrskoe pole,240000,8,walk,agency,0,164,3.0,8.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.375
938,No data,180000,0,walk,agency,0,8,25.0,32.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.78125
939,TcSKA,270000,17,walk,agency,0,4,12.0,16.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.75
940,Smolenskaia,850000,10,walk,agency,0,3,4.0,7.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.5714285714285714
941,No data,350000,0,walk,agency,0,147,6.0,23.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.2608695652173913
942,Smolenskaia,250000,6,walk,agency,0,135,6.0,7.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.8571428571428571
943,Kitai-gorod,260000,7,walk,agency,0,3,3.0,4.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.75
944,Novoslobodskaia,700000,8,walk,agency,0,75,8.0,8.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,1.0
945,Smolenskaia,350000,4,walk,agency,0,78,6.0,13.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.46153846153846156
946,Shabolovskaia,180000,8,walk,agency,0,134,7.0,18.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.3888888888888889
947,Mezhdunarodnaia,550000,6,walk,agency,0,24,26.0,76.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.34210526315789475
948,Maiakovskaia,199000,7,walk,agency,0,47,8.0,12.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.6666666666666666
949,Arbatskaia,370000,8,walk,agency,0,36,2.0,9.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.2222222222222222
950,Paveletckaia,350000,9,walk,agency,0,45,3.0,8.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.375
951,Serpukhovskaia,160000,10,walk,agency,0,155,7.0,13.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.5384615384615384
952,Krasnopresnenskaia,230000,12,walk,agency,0,69,6.0,8.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.75
953,Shabolovskaia,200000,8,walk,agency,0,70,3.0,18.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.16666666666666666
954,Novoslobodskaia,200000,10,walk,agency,0,4,9.0,15.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.6
955,Barrikadnaia,300000,12,walk,agency,0,137,20.0,25.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.8
956,Minskaia,578001,15,transport,agency,0,146,9.0,12.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.75
957,Shabolovskaia,250000,8,walk,agency,0,2,13.0,18.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.7222222222222222
958,Shchukinskaia,700000,15,walk,agency,0,64,3.0,35.0,6,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.08930993286106109,0.08571428571428572
959,Ulitca 1905 goda,230000,16,walk,agency,0,24,8.0,22.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.36363636363636365
960,Slavianskii bulvar,160000,19,walk,agency,0,52,4.0,31.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.12903225806451613
961,Smolenskaia,297000,3,walk,agency,0,35,4.0,6.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.6666666666666666
962,Minskaia,300000,15,transport,agency,0,39,35.0,53.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.660377358490566
963,No data,750000,0,transport,agency,0,49,14.0,22.0,6,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.08930993286106109,0.6363636363636364
964,Smolenskaia,590000,9,walk,agency,0,33,4.0,4.0,6,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.08930993286106109,1.0
965,Frunzenskaia,250000,6,walk,agency,0,2,11.0,16.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.6875
966,Turgenevskaia,220000,6,walk,agency,0,6,5.0,6.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.8333333333333334
967,No data,523410,0,walk,agency,0,62,4.0,14.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.2857142857142857
968,Lubianka,400000,3,walk,agency,0,31,4.0,5.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.8
969,Paveletckaia,350000,7,walk,agency,0,132,4.0,6.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.6666666666666666
970,Aeroport,350000,10,walk,agency,0,42,10.0,15.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.6666666666666666
971,Mezhdunarodnaia,400000,7,walk,agency,0,36,58.0,75.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.7733333333333333
972,Prospekt Mira,300000,6,walk,agency,0,138,8.0,16.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.5
973,Kurskaia,300000,8,walk,agency,0,150,4.0,7.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.5714285714285714
974,No data,200000,0,walk,agency,0,2,7.0,7.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,1.0
975,No data,70000,0,walk,agency,0,4,11.0,25.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.44
976,Pushkinskaia,700000,11,walk,agency,0,35,5.0,5.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,1.0
977,Turgenevskaia,380000,5,walk,agency,0,74,5.0,5.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,1.0
978,Timiriazevskaia,300000,10,walk,agency,0,138,5.0,12.0,6,232.0,130.0,21.0,0.5603448275862069,0.02586206896551724,0.4166666666666667
979,Krasnye vorota,300000,7,walk,agency,0,136,3.0,6.0,6,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.08930993286106109,0.5
980,Arbatskaia,600000,6,walk,agency,0,129,3.0,7.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.42857142857142855
981,Pushkinskaia,1046819,9,walk,agency,0,124,4.0,7.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.5714285714285714
982,Chistye prudy,360000,6,walk,agency,0,150,4.0,6.0,6,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.08930993286106109,0.6666666666666666
983,Arbatskaia,699000,7,walk,agency,0,137,5.0,6.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.8333333333333334
984,No data,500000,0,walk,agency,0,151,28.0,29.0,6,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.08930993286106109,0.9655172413793104
985,Smolenskaia,250000,13,walk,agency,0,10,2.0,13.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.15384615384615385
986,Krestianskaia zastava,150000,9,walk,agency,0,68,9.0,9.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,1.0
987,Turgenevskaia,430000,6,walk,agency,0,127,3.0,7.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.42857142857142855
988,Chistye prudy,450000,6,walk,agency,0,145,3.0,6.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.5
989,Arbatskaia,375000,8,walk,agency,0,138,2.0,8.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.25
990,Oktiabrskaia,850000,9,walk,agency,0,161,5.0,11.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.45454545454545453
991,Novoslobodskaia,300000,10,walk,agency,0,146,4.0,18.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.2222222222222222
992,Lomonosovskii prospekt,179000,20,walk,agency,0,132,18.0,22.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.8181818181818182
993,Mezhdunarodnaia,330000,7,walk,agency,0,144,53.0,75.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.7066666666666667
994,Delovoi tcentr,1500000,4,walk,agency,0,198,48.0,60.0,6,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.08930993286106109,0.8
995,Smolenskaia,450000,13,walk,agency,0,36,6.0,13.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.46153846153846156
996,Serpukhovskaia,330000,10,walk,agency,0,126,11.0,14.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.7857142857142857
997,Tretiakovskaia,250000,2,walk,agency,0,66,2.0,5.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.4
998,Barrikadnaia,250000,9,walk,agency,0,62,3.0,8.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.375
999,Tverskaia,450000,6,walk,agency,0,47,4.0,4.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,1.0
1000,Tcvetnoi bulvar,700000,3,walk,agency,0,73,3.0,10.0,5,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.07442494405088425,0.3
1001,Smolenskaia,450000,13,walk,agency,0,59,5.0,13.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.38461538461538464
1002,No data,350000,0,walk,agency,0,72,29.0,32.0,3,147.0,80.0,15.0,0.54421768707483,0.02040816326530612,0.90625
1003,No data,150000,0,walk,agency,0,65,13.0,24.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.5416666666666666
1004,Krestianskaia zastava,200000,13,walk,agency,0,77,12.0,18.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.6666666666666666
1005,Novoslobodskaia,330000,8,walk,agency,0,61,2.0,9.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.2222222222222222
1006,Smolenskaia,300000,3,walk,agency,0,61,3.0,6.0,4,160.0,88.0,12.0,0.55,0.025,0.5
1007,Belorusskaia,350000,7,walk,agency,0,62,3.0,10.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.3
1008,Zhulebino,46000,2,walk,agency,50,6,15.0,17.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.8823529411764706
1009,Tcaritcyno,55000,17,transport,agency,50,6,14.0,22.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.6363636363636364
1010,Novokuznetckaia,219000,4,walk,agency,0,41,8.0,9.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.8888888888888888
1011,Prospekt Mira,198000,8,walk,agency,0,50,3.0,14.0,3,117.0,66.0,12.0,0.5641025641025641,0.02564102564102564,0.21428571428571427
1012,Tretiakovskaia,200000,5,walk,agency,0,42,9.0,9.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,1.0
1013,Studencheskaia,180000,13,walk,agency,0,4,2.0,9.0,3,67.0,45.0,7.0,0.6716417910447762,0.04477611940298507,0.2222222222222222
1014,Alekseevskaia,110000,3,walk,agency,0,5,6.0,9.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.6666666666666666
1015,Novogireevo,55000,20,transport,agency,50,4,2.0,9.0,3,60.0,45.0,6.0,0.75,0.05,0.2222222222222222
1016,Pushkinskaia,160000,11,walk,agency,0,15,5.0,6.0,2,89.0,45.0,16.0,0.5056179775280899,0.02247191011235955,0.8333333333333334
1017,Konkovo,65000,5,walk,agency,80,25,4.0,17.0,2,50.0,30.0,8.0,0.6,0.04,0.23529411764705882
1018,Paveletckaia,65000,17,walk,agency,50,19,7.0,10.0,1,34.0,16.0,8.0,0.47058823529411764,0.029411764705882353,0.7
1019,No data,48000,0,walk,agency,0,24,4.0,9.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.4444444444444444
1020,VDNKh,45000,15,walk,agency,50,20,8.0,9.0,1,40.0,20.0,8.0,0.5,0.025,0.8888888888888888
1021,Komsomolskaia,350000,11,walk,agency,0,18,6.0,6.0,5,250.0,142.0,16.0,0.568,0.02,1.0
1022,Preobrazhenskaia ploshchad,42000,11,walk,agency,50,23,3.0,9.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.3333333333333333
1023,Pushkinskaia,180000,12,walk,agency,0,8,6.0,6.0,3,75.0,43.0,15.0,0.5733333333333334,0.04,1.0
1024,Smolenskaia,70000,7,walk,agency,50,12,6.0,8.0,1,39.0,18.0,10.0,0.46153846153846156,0.02564102564102564,0.75
1025,Bulvar Dmitriia Donskogo,35000,10,walk,agency,50,31,2.0,17.0,1,38.0,20.0,9.0,0.5263157894736842,0.02631578947368421,0.11764705882352941
1026,Teatralnaia,150000,6,walk,agency,0,9,1.0,4.0,3,67.0,37.0,10.0,0.5522388059701493,0.04477611940298507,0.25
1027,Rimskaia,100000,4,walk,agency,0,9,11.0,20.0,2,55.0,34.0,10.0,0.6181818181818182,0.03636363636363636,0.55
1028,Narodnoe Opolchenie,60000,14,walk,agency,60,4,15.0,21.0,1,33.0,14.0,14.0,0.42424242424242425,0.030303030303030304,0.7142857142857143
1029,Shabolovskaia,52000,15,walk,agency,70,3,6.0,9.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.6666666666666666
1030,Kurskaia,225000,10,walk,agency,0,1,5.0,5.0,2,78.0,40.0,8.0,0.5128205128205128,0.02564102564102564,1.0
1031,Timiriazevskaia,48500,15,walk,agency,50,5,2.0,12.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.16666666666666666
1032,Ulitca Skobelevskaia,38000,13,walk,agency,50,2,7.0,9.0,1,38.0,20.0,9.0,0.5263157894736842,0.02631578947368421,0.7777777777777778
1033,Kolomenskaia,40000,14,transport,agency,50,13,9.0,14.0,1,38.0,19.0,6.0,0.5,0.02631578947368421,0.6428571428571429
1034,Bratislavskaia,38000,21,walk,agency,50,12,2.0,16.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.125
1035,Shabolovskaia,70000,7,walk,agency,0,7,5.0,5.0,2,44.0,29.0,6.0,0.6590909090909091,0.045454545454545456,1.0
1036,Kolomenskaia,50000,5,walk,agency,45,17,15.0,17.0,1,31.0,18.0,9.0,0.5806451612903226,0.03225806451612903,0.8823529411764706
1037,Preobrazhenskaia ploshchad,55000,14,transport,developer,50,23,3.0,23.0,1,42.0,21.0,10.0,0.5,0.023809523809523808,0.13043478260869565
1038,Dinamo,55000,17,walk,developer,50,3,1.0,5.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.2
1039,Smolenskaia,207500,9,walk,agency,0,28,4.0,7.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.5714285714285714
1040,Ozernaia,48000,11,walk,developer,50,9,10.0,14.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.7142857142857143
1041,Butyrskaia,65000,2,walk,developer,50,4,7.0,7.0,3,73.0,52.0,8.0,0.7123287671232876,0.0410958904109589,1.0
1042,Davydkovo,87000,26,walk,agency,0,1,7.0,25.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.28
1043,Nekrasovka,43000,11,walk,developer,50,5,8.0,23.0,1,37.0,19.0,10.0,0.5135135135135135,0.02702702702702703,0.34782608695652173
1044,Krasnye vorota,160000,5,walk,developer,0,5,2.0,8.0,4,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0595399552407074,0.25
1045,Rasskazovka,53000,6,walk,developer,50,30,20.0,23.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.8695652173913043
1046,Rasskazovka,65000,6,walk,agency,0,9,16.0,19.0,2,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.0297699776203537,0.8421052631578947
1047,Belomorskaia,36500,21,transport,agency,0,1,6.0,9.0,3,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.044654966430530546,0.6666666666666666
1048,Mezhdunarodnaia,150000,5,walk,owner,0,13,47.0,65.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.7230769230769231
1049,Skhodnenskaia,65000,7,walk,developer,100,25,7.0,9.0,3,49.0,34.0,8.0,0.6938775510204082,0.061224489795918366,0.7777777777777778
