,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area,living_total_ratio,rooms_per_total_area,storey_ratio
349,Prospekt Vernadskogo,55000,5,walk,developer,100,29,3.0,12.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.25
350,Ulitca 1905 goda,48000,14,walk,developer,50,15,2.0,44.0,1,21.0,14.0,4.0,0.6666666666666666,0.047619047619047616,0.045454545454545456
351,Seligerskaia,53000,10,transport,developer,50,58,6.0,21.0,1,32.0,18.0,8.0,0.5625,0.03125,0.2857142857142857
352,No data,110000,0,transport,developer,50,50,2.0,19.0,3,90.0,50.0,10.0,0.5555555555555556,0.03333333333333333,0.10526315789473684
353,Nagornaia,35000,9,walk,developer,100,2,8.0,12.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.6666666666666666
354,Volzhskaia,42000,19,walk,developer,50,8,8.0,9.0,1,35.0,19.0,7.0,0.5428571428571428,0.02857142857142857,0.8888888888888888
355,Ulitca 1905 goda,50000,19,walk,developer,50,6,4.0,5.0,1,33.0,18.0,6.0,0.5454545454545454,0.030303030303030304,0.8
356,Tekstilshchiki,50000,14,walk,developer,50,5,9.0,9.0,1,33.0,18.0,7.0,0.5454545454545454,0.030303030303030304,1.0
357,Planernaia,55000,17,walk,developer,50,16,9.0,17.0,2,56.0,36.0,9.0,0.6428571428571429,0.03571428571428571,0.5294117647058824
358,Preobrazhenskaia ploshchad,65000,15,walk,developer,80,15,6.0,14.0,2,49.0,30.0,7.0,0.6122448979591837,0.04081632653061224,0.42857142857142855
359,Bratislavskaia,55000,3,walk,developer,50,8,14.0,14.0,1,40.0,20.0,9.0,0.5,0.025,1.0
360,Preobrazhenskaia ploshchad,50000,17,walk,developer,50,22,7.0,9.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.7777777777777778
